sequence_identifier	Kingdom	Phylum	Class	Order	Family	Genus	Mfunction
01403b6bfd0f92041ba1b91d3c1ccdba	Bacteria	Proteobacteria	Gammaproteobacteria				
01a138af21b20c0a968357761b8ff059	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)		
0254b683504eb0fe4479070570e76adb	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
0299bce8eb76f4d765733bac68319d68	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
02ba1e73248f08d5594668be4d141b46	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia
02f30d201812cd4382ead007793079de	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
03b380a40804441d574844d3542d2a34	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
03c6828d4b57b1dfb78d7a1e18084cae	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae		
0446f2cb29be3d4d143b1ea8f38bd6fc	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
04fffec06d5c38a072cc6067f251dacf	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola
052997e2115798e88d9738c37dc78987	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
053d8f3530a2286ec1cfc2c449c9ea30	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae		
05b5633a81509cbdc4bf4ccc3538235f	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
06ff6234c595e7668e31d41c657e3fc4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
079308603b507b11d34f7986710639e7	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
089743845a79a80548db999caade93fa	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
08ea25a0a6ec18cfa318e547f627b0ab	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
09a669334f1eac437b8a4515c6ce9a44	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio
09cb4d56e0d11eb25cba91a6149f1a70	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga
0ab58eb35200c2dad9c2e418682fe8ad	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured
0b87b5f41bb3b33e6b9d1f745e06ce49	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
0ba6f0b39b3ed120de1465c05c93f113	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae		
0c0adf14c432a862b8b4ecf2de1e40d2	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma
0c1956496e74e20f3b2194fc8c039d74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium
0c20bb5786e34333973a51623b832dc5	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
0c5637b1118a1239be7a1515ce088642	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
0cb6b42e542335cfc6ce176bab9ac5cc	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
0cc4bd17779b68b70c9d464d2d47754d	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae		
0ccb9899fa4183efc7faf92e13ae070b	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
0d6ca6c85595c5f84e1cf28656da3deb	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
0d7753fe25ceeb98a5039115b3d84994	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea
0d81029bd5f2e0000dafdf1eb1da4956	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
